AAAARecord|flash.net.dns|The AAAARecord class represents a Domain Name System (DNS) AAAA resource record containing an IPv6 address.
AbstractEvent|mx.rpc.events|The base class for events that RPC services dispatch.
AbstractInvoker|mx.rpc|An invoker is an object that actually executes a remote procedure call (RPC).
AbstractOperation|mx.rpc.http|An Operation used specifically by HTTPService or HTTPMultiService.
AbstractOperation|mx.rpc|The AbstractOperation class represents an individual method on a service.
AbstractService|mx.rpc|The AbstractService class is the base class for the HTTPMultiService, WebService, and RemoteObject classes.
AbstractTarget|mx.logging|This class provides the basic functionality required by the logging framework for a target implementation.
AbstractWebService|mx.rpc.soap|AbstractWebService is an abstract base class for implementations that provide RPC access to SOAP-based web services.
AccConst|mx.accessibility|The AccConst class defines constants defined in Microsoft's Active Accessibility (MSAA) specification.
Accelerometer|flash.sensors|The Accelerometer class dispatches events based on activity detected by the device's motion sensor.
AccelerometerEvent|flash.events|The Accelerometer class dispatches AccelerometerEvent objects when acceleration updates are obtained from the Accelerometer sensor installed on the device.
Accessibility|flash.accessibility|The Accessibility class manages communication with screen readers.
AccessibilityImplementation|flash.accessibility|The AccessibilityImplementation class is the base class in Flash Player that allows for the implementation of accessibility in components.
AccessibilityProperties|flash.accessibility|The AccessibilityProperties class lets you control the presentation of Flash objects to accessibility aids, such as screen readers.
AccImpl|fl.accessibility|The AccImpl class, also called the Accessibility Implementation class, is the base class for the implementation of accessibility in components.
AccImpl|mx.accessibility|AccImpl is Flex's base accessibility implementation class for MX and Spark components.
Accordion|mx.containers|An MX Accordion navigator container has a collection of child MX containers or Spark NavigatorContent containers, but only one of them at a time is visible.
AccordionAutomationImpl|mx.automation.delegates.containers|Defines the methods and properties required to perform instrumentation for the Accordion class.
AccordionHeader|mx.containers.accordionClasses|The AccordionHeader class defines the appearance of the navigation buttons of an Accordion.
AccordionHeaderAccImpl|mx.accessibility|AccordionHeaderAccImpl is a subclass of AccessibilityImplementation which implements accessibility for the AccordionHeader class.
AccordionHeaderSkin|mx.skins.halo|The skin for all the states of an AccordionHeader in an Accordion.
AccordionHeaderSkin|mx.skins.spark|The Spark skin class for the header of the MX Accordion container.
AccordionHeaderSkin|mx.skins.wireframe|The wireframe skin class for the header of the MX Accordion container.
ActionBar|spark.components|The ActionBar class defines a component that includes title, navigation, and action content groups.
ActionBarButtonSkinBase|spark.skins.mobile.supportClasses|Base skin class for ActionBar buttons in mobile applications.
ActionBarDefaultButtonAppearance|spark.components|The ActionBarDefaultButtonAppearance class defines the constants for the allowed values of the defaultButtonAppearance style of ActionBar.
ActionBarSkin|spark.skins.mobile|The default skin class for the Spark ActionBar component in mobile applications.
ActionEffectInstance|mx.effects.effectClasses|The ActionEffectInstance class is the superclass for all action effect instance classes.
ActionScriptVersion|flash.display|The ActionScriptVersion class is an enumeration of constant values that indicate the language version of a loaded SWF file.
ActivatorSkin|mx.skins.halo|Defines the up, down, and over states for MenuBarItem objects.
ActivityEvent|flash.events|A Camera or Microphone object dispatches an ActivityEvent object whenever a camera or microphone reports that it has become active or inactive.
AddAction|spark.effects|The AddAction class defines an action effect that corresponds to the AddChild property of a view state definition.
AddActionInstance|spark.effects.supportClasses|The AddActionInstance class implements the instance class for the AddAction effect.
AddChild|mx.states|The AddChild class adds a child display object, such as a component, to a container as part of a view state.
AddChildAction|mx.effects|The AddChildAction class defines an action effect that corresponds to the AddChild property of a view state definition.
